warehouse_key,warehouse_name,warehouse_manager,warehouse_type,warehouse_address,warehouse_city,warehouse_state,warehouse_country,warehouse_postal_code,warehouse_staff_count,warehouse_space_used
1,WH-ASH-1,Christina Horne,Regional Distribution,62970 Matthew Manors,Ashleybury,WA,USA,70751,253,89200
2,WH-SAR-2,James Martinez,Regional Distribution,1896 Reese Greens Suite 572,Sarahville,IN,USA,69492,269,76952
3,WH-CHR-3,Darin Schwartz,Cross-dock,890 Christopher Land,Christopherside,TN,USA,26247,443,79471
4,WH-CAS-4,Joseph Moore,Regional Distribution,216 Heather Union Apt. 405,Cassiemouth,KY,USA,44389,445,65199
5,WH-NAT-5,Amanda Evans,Cross-dock,651 Walters Ways Apt. 442,Natalietown,NJ,USA,50126,113,94321
6,WH-POR-6,Edward Brooks,Local Distribution,54976 Chad Union,Port Michaelport,PW,USA,02058,269,63045
7,WH-ONE-7,Amy Rose,Regional Distribution,515 Roberto Haven Suite 990,Onealton,IL,USA,67946,322,93768
8,WH-JAM-8,Brittany Johnson,Regional Distribution,526 Powell Islands Suite 906,Jamesside,AL,USA,87955,300,6566
9,WH-WIL-9,Adam Rodriguez,Regional Distribution,50936 Steven Lodge Suite 114,Williamberg,PA,USA,50983,343,5754
10,WH-GIL-10,Charles Bennett,Local Distribution,678 Crystal Gardens,Gilesview,TX,USA,48141,227,59035
